"","logFC","logCPM","LR","PValue","FDR"
"PSME_27168",-12.5115795167951,4.46247438433404,16.4083596352931,5.10595470248832e-05,0.00682700526748638
"PSME_14525",-12.4357426508835,4.26412621092642,16.4068952967074,5.10990070770353e-05,0.00682700526748638
"PSME_49637",-12.6776468088398,4.01947246906034,16.4024028904027,5.12202569899655e-05,0.00682700526748638
"PSME_30899",-5.0213937827318,4.95848153032481,16.3977747023528,5.13454742046093e-05,0.00682700526748638
"PSME_49053",-6.44381170996634,5.22689596586047,16.3856790061528,5.16741828079873e-05,0.00683377176726276
"PSME_22011",-13.4040707412309,5.766050530729,16.3698504363764,5.21075332953058e-05,0.00685423050266274
"PSME_32395",-13.0233250787823,4.09140489208521,16.3537115941761,5.25531411978887e-05,0.00687607535737057
"PSME_37724",-12.404068461723,4.111551026972,16.3165536492114,5.35937285007453e-05,0.00696206280294515
"PSME_40309",-12.6052478664462,4.40637657505093,16.2983419107593,5.41112791778715e-05,0.00696206280294515
"PSME_10128",-13.0141474983299,4.48806070100092,16.292881924758,5.42674210002244e-05,0.00696206280294515
"PSME_29635",-13.0116611537428,4.7169027694925,16.2902632479364,5.43424692318671e-05,0.00696206280294515
"PSME_37012",-12.9898959739545,4.5695983449178,16.2667043662155,5.5022350011655e-05,0.00700635685712228
"PSME_33399",-13.2266326190301,3.73293359488984,16.2586112607048,5.52578758550176e-05,0.00700635685712228
"PSME_00589",-17.4656326881902,4.79398286309976,16.2306044754095,5.60807832374948e-05,0.00707423131320973
"PSME_12134",-13.4069590377904,4.39801972338639,16.1769947555511,5.76905002989914e-05,0.00717893217072892
"PSME_12803",-13.2061479043876,4.15977445526366,16.1730141096515,5.7811862628642e-05,0.00717893217072892
"PSME_51000",-5.909111243405,4.49862843976036,16.1675302445423,5.79794758721062e-05,0.00717893217072892
"PSME_23290",-12.6189975994998,4.63004694233268,16.1551545305887,5.83595352822768e-05,0.00717893217072892
"PSME_37197",-14.1906565999299,5.69918998062993,16.1458944223486,5.86455520038051e-05,0.00717893217072892
"PSME_48998",-12.9957037846762,4.18723816957837,16.1453665763853,5.86618979720511e-05,0.00717893217072892
"PSME_43567",-12.6467451870013,4.68668258428507,16.1105370313602,5.9750663229474e-05,0.00727597432731981
"PSME_25950",-13.4286445889607,4.30648870081794,16.0942248316238,6.02675451281301e-05,0.00730276391656031
"PSME_20739",-13.7009715279547,5.35018849128046,16.0248170415249,6.25176154344309e-05,0.00750436219346403
"PSME_34478",-3.84304061122378,6.00346991603628,16.0240957592061,6.25414362818167e-05,0.00750436219346403
"PSME_13269",-12.5113283581622,4.07064536898197,16.0139160666494,6.28786028789303e-05,0.00750819356124236
"PSME_21832",-4.58095673969846,4.95320097006904,15.9433550049826,6.526649286203e-05,0.00774912165130734
"PSME_32105",-4.16090060550476,5.76457864266695,15.9358333786166,6.55263559424314e-05,0.00774912165130734
"PSME_22729",-12.9387177701877,6.06111875494893,15.8999819667738,6.67793534854746e-05,0.00779248799175819
"PSME_38350",-5.45391743803181,5.50148552972532,15.8985905664519,6.68284654396261e-05,0.00779248799175819
"PSME_43532",-6.02568417090576,5.31479149917145,15.8981664903286,6.68434411846889e-05,0.00779248799175819
"PSME_31670",-12.6293204315073,4.73153504450339,15.8783889140043,6.75456254133629e-05,0.00783720421659387
"PSME_11354",-13.6348457912722,4.27051982584739,15.8467465451812,6.86845229331239e-05,0.00793193377985437
"PSME_26803",-14.0833195799164,3.66758772207405,15.8246904028228,6.94897913493668e-05,0.0079874293813632
"PSME_31431",-12.8898203962543,4.33545712062503,15.8005552586847,7.03818503650257e-05,0.00804284739798086
"PSME_46787",-12.9593653378866,4.14461726491438,15.7940068838151,7.06258654347453e-05,0.00804284739798086
"PSME_50403",-5.2280600103071,4.9753538085287,15.755584980219,7.20748416654755e-05,0.00812357618615185
"PSME_25832",-12.6614591349391,5.35610591622483,15.7541059577114,7.21312127721704e-05,0.00812357618615185
"PSME_25804",-4.62162118619255,5.04116452984763,15.7490167212858,7.23255217809275e-05,0.00812357618615185
"PSME_41193",-12.7820738063903,4.26925553919478,15.735902647875,7.28286522069183e-05,0.0081429053953899
"PSME_12428",-12.1616687979999,4.9047650050005,15.7163591715399,7.35849920350131e-05,0.00819024268813236
"PSME_38895",-8.45695474595395,4.51521108146526,15.6952518289944,7.44107323374068e-05,0.00824484321637627
"PSME_11657",-12.4696446796433,5.09547578261782,15.6830267655255,7.48932454145008e-05,0.00826109439778427
"PSME_11071",-12.8242771138634,4.14787380894358,15.6636302751882,7.56652759840421e-05,0.00830899311899763
"PSME_37360",-4.52643983276283,4.76953296338914,15.6139998410748,7.76773473523829e-05,0.0084920328452174
"PSME_26329",-12.7251026110486,3.88349236491126,15.5748925609168,7.93006504780753e-05,0.00863113894008715
"PSME_05841",-13.8027033056066,3.17449149479191,15.5644234744539,7.97409737103117e-05,0.00864083027015968
"PSME_45369",-5.86144749801709,4.44076828997452,15.5411780087949,8.07274781211125e-05,0.00869832568713868
